CHURN_RISK_SCORE,RISK_SEGMENT
0.03333333333333333,Very Low
0.02666666666666667,Very Low
0.013333333333333334,Very Low
0.05,Very Low
0.07666666666666666,Very Low
0.0033333333333333335,Very Low
0.04,Very Low
0.04,Very Low
0.03666666666666667,Very Low
0.07666666666666666,Very Low
0.9766666666666667,High
0.006666666666666667,Very Low
0.08666666666666667,Very Low
0.016666666666666666,Very Low
0.06666666666666667,Very Low
0.9766666666666667,High
0.023333333333333334,Very Low
0.0033333333333333335,Very Low
0.013333333333333334,Very Low
0.016666666666666666,Very Low
0.006666666666666667,Very Low
0.96,High
0.04,Very Low
0.0,Very Low
0.056666666666666664,Very Low
0.043333333333333335,Very Low
0.01,Very Low
0.013333333333333334,Very Low
0.0,Very Low
0.016666666666666666,Very Low
0.04666666666666667,Very Low
0.006666666666666667,Very Low
0.02,Very Low
0.9733333333333334,High
0.0033333333333333335,Very Low
0.0033333333333333335,Very Low
0.006666666666666667,Very Low
0.0,Very Low
0.07666666666666666,Very Low
0.0033333333333333335,Very Low
0.016666666666666666,Very Low
0.8366666666666667,High
0.04,Very Low
0.056666666666666664,Very Low
0.016666666666666666,Very Low
0.0,Very Low
0.01,Very Low
0.013333333333333334,Very Low
0.9566666666666667,High
0.023333333333333334,Very Low
0.013333333333333334,Very Low
0.023333333333333334,Very Low
0.02,Very Low
0.02,Very Low
0.93,High
0.03,Very Low
0.006666666666666667,Very Low
0.023333333333333334,Very Low
0.05,Very Low
0.023333333333333334,Very Low
0.01,Very Low
0.023333333333333334,Very Low
0.023333333333333334,Very Low
0.01,Very Low
0.0,Very Low
0.01,Very Low
0.006666666666666667,Very Low
0.03333333333333333,Very Low
0.02666666666666667,Very Low
0.9166666666666666,High
0.02,Very Low
0.05,Very Low
0.0033333333333333335,Very Low
0.02,Very Low
0.0,Very Low
0.006666666666666667,Very Low
0.9966666666666667,High
0.9733333333333334,High
0.0033333333333333335,Very Low
0.01,Very Low
0.03,Very Low
0.03,Very Low
0.006666666666666667,Very Low
0.013333333333333334,Very Low
0.6266666666666667,Medium
0.0,Very Low
0.99,High
0.02,Very Low
0.04666666666666667,Very Low
0.7866666666666666,High
0.016666666666666666,Very Low
0.03666666666666667,Very Low
0.02,Very Low
0.023333333333333334,Very Low
0.006666666666666667,Very Low
0.006666666666666667,Very Low
0.02666666666666667,Very Low
0.006666666666666667,Very Low
0.6133333333333333,Medium
0.9433333333333334,High
0.07666666666666666,Very Low
0.01,Very Low
0.0033333333333333335,Very Low
0.0,Very Low
0.0033333333333333335,Very Low
0.0,Very Low
0.13,Very Low
0.01,Very Low
0.016666666666666666,Very Low
0.0033333333333333335,Very Low
0.0033333333333333335,Very Low
0.0,Very Low
0.79,High
0.023333333333333334,Very Low
0.006666666666666667,Very Low
0.93,High
0.05333333333333334,Very Low
0.96,High
0.0033333333333333335,Very Low
0.0,Very Low
0.006666666666666667,Very Low
0.0033333333333333335,Very Low
0.023333333333333334,Very Low
0.013333333333333334,Very Low
0.0033333333333333335,Very Low
0.02,Very Low
0.97,High
0.77,High
0.016666666666666666,Very Low
0.043333333333333335,Very Low
0.013333333333333334,Very Low
0.0033333333333333335,Very Low
0.07333333333333333,Very Low
0.05333333333333334,Very Low
0.006666666666666667,Very Low
0.12,Very Low
0.02666666666666667,Very Low
0.02666666666666667,Very Low
0.0033333333333333335,Very Low
0.013333333333333334,Very Low
0.016666666666666666,Very Low
0.02,Very Low
0.013333333333333334,Very Low
0.05,Very Low
0.96,High
0.013333333333333334,Very Low
0.02666666666666667,Very Low
0.03333333333333333,Very Low
0.006666666666666667,Very Low
0.12666666666666668,Very Low
0.013333333333333334,Very Low
0.03,Very Low
0.013333333333333334,Very Low
0.016666666666666666,Very Low
0.056666666666666664,Very Low
0.013333333333333334,Very Low
0.9566666666666667,High
0.05333333333333334,Very Low
0.03666666666666667,Very Low
0.01,Very Low
0.0033333333333333335,Very Low
0.02,Very Low
0.02,Very Low
0.006666666666666667,Very Low
0.04,Very Low
0.013333333333333334,Very Low
0.05333333333333334,Very Low
0.016666666666666666,Very Low
